mp_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,ag_debates,ag_private_member_bills,ag_questions,avg_attendance,mp_note,ag_national_average_debate,ag_national_average_pmb,ag_national_average_questions,avg_attendance_national_average,ag_state_average_debate,ag_state_average_pmb,ag_state_average_questions,avg_attendance_state_average,mp_house
900411,Rajeev Shankarrao Satav,Elected,03-04-2020,16-05-2021,First Term,N/A,Maharashtra,Indian National Congress,Male,Post Graduate,"B.Sc, M.A., LL.B",49,37,N/A,93,0.741935484, Data corresponds to the period from 01-06-2009 to 09-08-2024.,14.7655934,N/A,26.98962433,0.797189314,23.6,N/A,44.8,0.786057162,Rajya Sabha
900316,N. K. Singh,Elected,10-04-2008,09-04-2014,First Term,N/A,Bihar,Janata Dal (United),Male,Post Graduate,"M.A. (Economics) Educated at St. Stephen's College, University of Delhi and Delhi School of Economics, Delhi",83,115,1,1036,0.859550562, Data corresponds to the period from 01-06-2009 to 09-08-2024.,39.07140246,0.968051246,284.2491237,0.797189314,51.8375,0.0625,331.9958333,0.828824349,Rajya Sabha
900488,Sasikala Pushpa,Elected,03-04-2014,02-04-2020,First Term,N/A,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Female,Post Graduate,"B.A. (English Literature), M.A. (Public Administration), Diploma in Business Administation Educated at University of Madras, Chennai and Southern Cross University, Singapore",48,27,3,523,0.699745547, Data corresponds to the period from 01-06-2009 to 09-08-2024.,97.86446071,1.500965027,324.7388369,0.797189314,136.8039216,0.784313725,438.3496732,0.716988582,Rajya Sabha
900433,Rama Chandra Khuntia,Elected,03-04-2008,02-04-2014,Second Term,N/A,Odisha,Indian National Congress,Male,Professional Post Graduate,"Graduate in Law, M.B.A. Educated at Utkal University and Sikkim Manipal University",70,99,5,777,0.800561798, Data corresponds to the period from 01-06-2009 to 09-08-2024.,39.07140246,0.968051246,284.2491237,0.797189314,54.27777778,0.5,252.9222222,0.779857655,Rajya Sabha
900262,M.V. Mysura Reddy,Elected,03-04-2006,02-04-2012,First Term,N/A,Andhra Pradesh,Telugu Desam Party,Male,Professional Graduate,"M.B.B.S. Educated at Government Medical College, Kurnool (Andhra Pradesh",75,68,1,494,0.932126697, Data corresponds to the period from 01-06-2009 to 09-08-2024.,23.58244777,0.61776919,178.9718321,0.797189314,20.52142857,0.883333333,251.8839286,0.765430765,Rajya Sabha
900264,Mabel Rebello,Elected,03-04-2006,02-04-2012,Second Term,N/A,Jharkhand,Indian National Congress,Female,Post Graduate,"M.A., D.S.W. (Diploma in Social Work) Educated at St. Joseph's School, St. Agnes College, Roshini Nilaya, Bangalore and Bakratulla University, Bhopal",74,26,3,249,0.914027149, Data corresponds to the period from 01-06-2009 to 09-08-2024.,23.58244777,0.61776919,178.9718321,0.797189314,23.75,0.5,250.9,0.800191833,Rajya Sabha
900575,Vandana Hemant Chavan,Elected,03-04-2018,02-04-2024,Second Term,N/A,Maharashtra,Nationalist Congress Party,Female,Professional Graduate,"B.Sc., LL.B. Educated at Hutchings High School, Pune, Fergusson College, Pune and I.L.S. Law College, Pu",63,362,5,693,0.779891304, Data corresponds to the period from 01-06-2009 to 09-08-2024.,190.0384066,2.733821306,589.8961533,0.797189314,215.5544962,6.830438842,818.9871104,0.786057162,Rajya Sabha
900496,Shadi Lal Batra,Elected,04-08-2009,02-04-2018,Second Term,N/A,Haryana,Indian National Congress,Male,Professional Graduate,"B.Com., LL.B. ; Educated at Vaish College, Rohtak, Haryana and Faculty of Law, University of Delhi, Delhi",84,35,10,414,0.928338762, Data corresponds to the period from 01-06-2009 to 09-08-2024.,96.35989646,1.852990286,489.3605005,0.797189314,56.31666667,2,353.8166667,0.874717895,Rajya Sabha
900198,K. K. Ragesh,Elected,23-04-2015,21-04-2021,First Term,N/A,Kerala,Communist Party of India (Marxist),Male,Professional Graduate,"B.A., LL.B.; Educated at Kerala Law Academy, Law College, Thiruvananthapuram",54,299,6,610,0.875, Data corresponds to the period from 01-06-2009 to 09-08-2024.,95.51029972,1.226975471,299.1429747,0.797189314,123.6694444,0.833333333,313.0333333,0.781809727,Rajya Sabha
900687,Ilaiyaraaja,Nominated,07-07-2022,In Office,First Term,N/A,N/A,Nominated,Male,Information not available,Information not available,81,0,0,0,0.19047619, Data corresponds to the period from 01-06-2009 to 09-08-2024.,59.15323734,0.7299367,92.00047242,0.797189314,N/A,N/A,N/A,N/A,Rajya Sabha
900268,Mahendra Mohan,Elected,03-04-2006,02-04-2012,First Term,N/A,Uttar Pradesh,Samajwadi Party,Male,Graduate,"B. Com. Educated at G.N.K. Inter College, B.N.S.D. Inter College and D.A.V. College, Kanpur (Uttar Pradesh)",83,44,10,370,0.760180995, Data corresponds to the period from 01-06-2009 to 09-08-2024.,23.58244777,0.61776919,178.9718321,0.797189314,19.40961022,1.217741935,116.322379,0.843924756,Rajya Sabha
900148,G.V.L. Narasimha Rao,Elected,03-04-2018,02-04-2024,First Term,N/A,Uttar Pradesh,Bharatiya Janata Party,Male,Graduate,"B.Sc.(Agriculture), P.G. Diploma in Rural Management (PGDRM) Educated at Agricultural College, Baptala, Andhra Pradesh Agricultural University and Institute of Rural Management, Anand (Gujarat)",60,82,1,304,0.971962617, Data corresponds to the period from 01-06-2009 to 09-08-2024.,113.5092723,1.402770352,256.9495301,0.797189314,93.16209633,0.410344828,252.6913793,0.843924756,Rajya Sabha
900589,Vijila Sathyananth,Elected,03-04-2014,02-04-2020,First Term,N/A,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Female,Professional Post Graduate,"B.Sc., B.Ed., P.G.D.C.A., M.B.A. Educated at Madurai Kamaraj University, Madurai and Manonmaniam Sundaranar University, Tirunelveli",53,230,1,518,0.882951654, Data corresponds to the period from 01-06-2009 to 09-08-2024.,97.86446071,1.500965027,324.7388369,0.797189314,136.8039216,0.784313725,438.3496732,0.716988582,Rajya Sabha
900286,Mansukh L. Mandaviya,Elected,03-04-2018,02-04-2024,Second Term,N/A,Gujarat,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"H.S.C., Veterinary Live Stock Inspector (Certificate Course), Educated at Songadh Gurukul and Gujarat Agricultural University, S.K. Nagar, Dantiwada, Gujarat",52,56,14,449,0.679442509,"This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till May 2016. Data corresponds to the period from 01-06-2009 to 09-08-2024.",48.1501498,0.895958831,217.4426936,0.797189314,32.42424242,2.838383838,223.7676768,0.855704017,Rajya Sabha
900565,Thomas Sangma,Elected,13-04-2008,04-02-2013,First Term,N/A,Meghalaya,Nationalist Congress Party,Male,Diploma Course,"Under Graduate, Diploma in Computer Applications Educated at Tura Government College (N.E.H.U.), Tura and C.A. I. (Kolkata), Tura",63,8,4,58,0.850533808, Data corresponds to the period from 01-06-2009 to 09-08-2024.,30.20413538,0.925498054,228.5839912,0.797189314,8,4,58,0.808042294,Rajya Sabha
900272,Mahesh Poddar,Elected,08-07-2016,07-07-2022,First Term,N/A,Jharkhand,Bharatiya Janata Party,Male,Professional Graduate,Bachelor of Engineering (Mechanical) from Bangalore University,74,116,4,622,0.923076923, Data corresponds to the period from 01-06-2009 to 09-08-2024.,101.5030364,1.196297868,289.4391529,0.797189314,44.4,0.8,383.8,0.800191833,Rajya Sabha
900599,Vivek Gupta,Elected,03-04-2012,02-04-2018,First Term,N/A,West Bengal,All India Trinamool Congress,Male,Graduate,"B.Com (Hons.), Degree in System Design and Analyst and Degree in Print Production Educated at Calcutta University, Kolkata, NIIT, Kolkata and V.D.M.A. (Germany)",48,144,27,668,0.821428571, Data corresponds to the period from 01-06-2009 to 09-08-2024.,76.5291343,1.331050954,332.9466233,0.797189314,109.4,2.3,245.1583333,0.710191158,Rajya Sabha
900438,Ramkumar Verma,Elected,05-07-2016,04-07-2022,First Term,N/A,Rajasthan,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Economics) Educated at Government Senior Secondary School (Rajasthan Board), Government College, Rajgarh, Alwar, University of Rajasthan, Jaipur and R.R. Government College, Alwar, University of Rajasthan, Jaipur",69,95,1,234,0.982905983, Data corresponds to the period from 01-06-2009 to 09-08-2024.,101.5030364,1.196297868,289.4391529,0.797189314,61.23333333,2.372222222,296.1444444,0.836013724,Rajya Sabha
900107,Brinda Karat,Elected,19-08-2005,18-08-2011,First Term,N/A,West Bengal,Communist Party of India (Marxist),Female,Graduate,"Senior Cambridge, B.A. Educated at Welham Girls High School, Dehradun, Loreto House, Kolkata and Miranda House, Delhi University, Delhi",76,69,3,173,0.858823529, Data corresponds to the period from 01-06-2009 to 09-08-2024.,18.32375211,0.596309963,139.8847604,0.797189314,29.62556391,0.40952381,103.9869674,0.710191158,Rajya Sabha
900178,Jai Prakash Narayan Singh,Elected,10-04-2008,09-04-2014,First Term,N/A,Jharkhand,Bharatiya Janata Party,Male,Graduate,B.Sc. (Hons.) Educated at Bihar University,75,50,1,511,0.856741573, Data corresponds to the period from 01-06-2009 to 09-08-2024.,39.07140246,0.968051246,284.2491237,0.797189314,34.03333333,0.666666667,418.6333333,0.800191833,Rajya Sabha
900089,Bhalchandra Mungekar,Nominated,22-03-2010,21-03-2016,First Term,N/A,N/A,Indian National Congress,Male,Doctorate,"B.A.(Hons.) in Economics, M.A.(Economics) Ph.D. ; Educated at University of Mumbai",78,82,2,300,0.88, Data corresponds to the period from 01-06-2009 to 09-08-2024.,60.01791652,1.283100005,325.2657498,0.797189314,N/A,N/A,N/A,N/A,Rajya Sabha
900093,Bhupender Yadav,Elected,04-04-2018,03-04-2024,Second Term,N/A,Rajasthan,Bharatiya Janata Party,Male,Professional Graduate,"B.A. (Hons.), LL. B. Educated at Government College, Ajmer and Maharishi Dayanand University, Ajmer",55,123,3,270,0.857638889,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2009 to 09-08-2024.",128.1190088,1.851247082,457.0057527,0.797189314,89.96388889,2.583333333,417.1944444,0.836013724,Rajya Sabha
900397,R.C. Singh,Elected,25-06-2008,02-04-2012,First Term,N/A,West Bengal,Communist Party of India,Male,Inter/ Higher Secondary,"Higher Secondary, Certificate in Mining Educated at D.A.V. School, Mau, Janta Degree College, Ranipur, Mau, Uttar Pradesh and Indian School of Mines, Dhanbad",80,92,3,601,0.959276018, Data corresponds to the period from 01-06-2009 to 09-08-2024.,23.58244777,0.61776919,178.9718321,0.797189314,37.09223058,0.40952381,125.6536341,0.710191158,Rajya Sabha
900592,Vilasrao Dagadojirao Deshmukh,Elected,04-08-2009,14-08-2012,Second Term,N/A,Maharashtra,Indian National Congress,Male,Professional Graduate,"B.Sc., B.A., LL.B. Educated at Garware College, Pune University, Pune and I.L.S. Law College, Pune (Maharashtra)",79,N/A,N/A,N/A,N/A,"This MP was a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2009 to 09-08-2024.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rajya Sabha
900061,Ashok Bajpai,Elected,03-04-2018,02-04-2024,First Term,N/A,Uttar Pradesh,Bharatiya Janata Party,Male,Doctorate,"B.Sc., LL.B., Diploma in Public Administration, M.A. (Public Administration), M.A. (Political Science), Ph.D. (Public Administration) Educated at R.R. College, Hardoi, Lucknow University, Lucknow and Kanpur University, Kanpur, Uttar Pradesh",75,101,1,235,0.978193146, Data corresponds to the period from 01-06-2009 to 09-08-2024.,113.5092723,1.402770352,256.9495301,0.797189314,93.16209633,0.410344828,252.6913793,0.843924756,Rajya Sabha
900119,D. Raja,Elected,25-07-2007,24-07-2019,Second Term,N/A,Tamil Nadu,Communist Party of India,Male,Professional Graduate,"B.Sc., B.Ed. Educated at University of Madras, Chennai and Department of Education, Madras",75,628,1,1398,0.908460472, Data corresponds to the period from 01-06-2009 to 09-08-2024.,115.5008047,2.189562887,572.6544607,0.797189314,158.3688725,1.369281046,723.2148693,0.716988582,Rajya Sabha
900068,Avinash Rai Khanna,Elected,10-04-2010,09-04-2016,First Term,N/A,Punjab,Bharatiya Janata Party,Male,Professional Graduate,"B.Com., LL.B., Diploma in Business Management ; Educated at D.A.V. College, Jalandhar and Panjab University, Chandigarh",63,145,5,588,0.915294118, Data corresponds to the period from 01-06-2009 to 09-08-2024.,60.01791652,1.283100005,325.2657498,0.797189314,58.68095238,0.985714286,304.8571429,0.790141082,Rajya Sabha
900153,Gireesh Kumar Sanghi,Elected,22-06-2004,21-06-2010,First Term,N/A,Andhra Pradesh,Indian National Congress,Male,Post Graduate,"B.A., M.A (Political Science) Educated at Osmania University, Hyderabad",69,15,3,200,0.682352941, Data corresponds to the period from 01-06-2009 to 09-08-2024.,10.16469479,0.32389617,78.08241781,0.797189314,9.75,0.75,120.3125,0.765430765,Rajya Sabha
900604,Y. P. Trivedi,Elected,03-04-2008,02-04-2014,First Term,N/A,Maharashtra,Nationalist Congress Party,Male,Professional Graduate,"B. Com., LL.B. Educated at Sydnam College, Mumbai",95,33,2,450,0.56741573, Data corresponds to the period from 01-06-2009 to 09-08-2024.,39.07140246,0.968051246,284.2491237,0.797189314,46.95140056,1.377521008,470.5297969,0.786057162,Rajya Sabha
900181,Janardhan Waghmare,Elected,03-04-2008,02-04-2014,First Term,N/A,Maharashtra,Nationalist Congress Party,Male,Doctorate,"M.A., LL.M., Ph. D. Educated at Osmania University, Hyderabad, Pune University, Pune and Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",89,79,3,830,0.75, Data corresponds to the period from 01-06-2009 to 09-08-2024.,39.07140246,0.968051246,284.2491237,0.797189314,46.95140056,1.377521008,470.5297969,0.786057162,Rajya Sabha
900237,Kirodilal Meena,Elected,04-04-2018,06-12-2023,First Term,N/A,Rajasthan,Bharatiya Janata Party,Male,Professional Graduate,"M.B.B.S.; Educated at S.P. Medical College, Bikaner, Rajasthan",72,46,6,476,0.87, Data corresponds to the period from 01-06-2009 to 09-08-2024.,100.8029436,1.023572657,240.4050533,0.797189314,51.26111111,1.608333333,280.2694444,0.836013724,Rajya Sabha
900109,C.M. Ramesh,Elected,03-04-2018,02-04-2024,Third Term,N/A,Andhra Pradesh,Bharatiya Janata Party,Male,Information not available,Information not available,59,65,1,1373,0.789329685, Data corresponds to the period from 01-06-2009 to 09-08-2024.,189.8448582,2.733821306,588.1910842,0.797189314,175.0720946,3.685064935,875.0093407,0.759049192,Rajya Sabha
900419,Rakesh Sinha,Nominated,14-07-2018,13-07-2024,First Term,N/A,N/A,Bharatiya Janata Party,Male,Doctorate,"B.A. (Hons.) (Political Science), M.A. (Political Science), M. Phil., Ph.D. Educated at Netarhat School, Ranchi (Jharkhand) and Hindu College, University of Delhi",59,110,3,483,0.987538941, Data corresponds to the period from 01-06-2009 to 09-08-2024.,113.8774541,1.402770352,253.621355,0.797189314,N/A,N/A,N/A,N/A,Rajya Sabha
900598,Vishambhar Prasad Nishad,Elected,05-07-2016,04-07-2022,Second Term,N/A,Uttar Pradesh,Samajwadi Party,Male,Post Graduate,"M.A., LL.B.",62,515,3,1348,0.962, Data corresponds to the period from 01-06-2009 to 09-08-2024.,135.6224814,1.741974644,405.7885263,0.797189314,152.3251055,0.662439748,383.8491922,0.843924756,Rajya Sabha
900217,K.V.P. Ramachandra Rao,Elected,10-04-2008,09-04-2020,Third Term,N/A,Telangana,Indian National Congress,Male,Professional Graduate,"M.B.B.S. Educated at Rangaraya Medical College, Kakinada, Andhra University, Andhra Pradesh",76,59,7,1179,0.871727749, Data corresponds to the period from 01-06-2009 to 09-08-2024.,136.9358632,2.469016273,608.9879606,0.797189314,128.1238095,1.166666667,710.8142857,0.746286047,Rajya Sabha
900032,Amar Patnaik,Elected,04-07-2019,03-04-2024,First Term,N/A,Odisha,Biju Janata Dal,Male,Doctorate,"B.Sc. (Hons.), P.G.D.B.M., LL.B., Masters in Public Management, Ph.D. Educated at St. Stephen's College, Delhi University, Xavier Institute of Management, Bhubaneswar, Odisha, Lee Kuan Yew School of Public Policy, Singapore University, John F. Kennedy School of Governement, Harvard and Xavier Univeristy, Odisha",57,1411,9,475,0.965517241, Data corresponds to the period from 01-06-2009 to 09-08-2024.,102.6900859,1.210485759,208.0091273,0.797189314,433.9333333,4.222222222,283.8888889,0.779857655,Rajya Sabha
900016,Abhishek Manu Singhvi,Elected,03-04-2018,02-04-2024,Third Term,N/A,West Bengal,Indian National Congress,Male,Doctorate,"B.A.(Hons.), M.A., Ph.D., PIL Educated at St. Columba's School, Delhi, St. Stephen's College, Delhi University, Trinity College, University of Cambridge, U.K. and Havard University, U.S.A.",65,21,4,79,0.414838036, Data corresponds to the period from 01-06-2009 to 09-08-2024.,213.6208544,3.351590497,769.6849498,0.797189314,250.9064935,3.409722222,801.8725649,0.794072869,Rajya Sabha
900193,Jyotiraditya Madhavrao Scindia,Elected,22-06-2020,04-06-2024,First Term,N/A,Madhya Pradesh,Bharatiya Janata Party,Male,Post Graduate,"M.A., M.B.A.; Educated at Doon School, Dehradun, Harvard University (U.S.A.) and Stanford University, California (USA)",53,6,N/A,76,0.848484848,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2009 to 09-08-2024.",14.7655934,N/A,26.98962433,0.797189314,10.22222222,N/A,23.77777778,0.859978101,Rajya Sabha
900501,Shanta Chhetri,Elected,19-08-2017,18-08-2023,First Term,N/A,West Bengal,All India Trinamool Congress,Female,Post Graduate,M.Com from North Bengal University,67,165,11,418,0.792569659, Data corresponds to the period from 01-06-2009 to 09-08-2024.,100.8988846,1.133559671,272.5717981,0.797189314,149.6095238,1.895833333,274.6547619,0.710191158,Rajya Sabha
900263,M.V. Rajeev Gowda,Elected,26-06-2014,25-06-2020,First Term,N/A,Karnataka,Indian National Congress,Male,Doctorate,"Ph.D in Public Policy & Management from Wharton School of Pennsylvania, USA",60,130,3,693,0.92345679, Data corresponds to the period from 01-06-2009 to 09-08-2024.,97.66890515,1.500965027,324.7388369,0.797189314,76.62272727,1.009090909,396.6151515,0.740546676,Rajya Sabha
900485,Sardar Sukh Dev Singh Dhindsa,Elected,10-04-2016,09-04-2022,Third Term,N/A,Punjab,Shiromani Akali Dal,Male,Graduate,"B.A. Educated at Guru Nanak School, Sangrur and Government Ranbir College, Sangrur, Punjab",88,67,1,471,0.687737042, Data corresponds to the period from 01-06-2009 to 09-08-2024.,166.4842277,2.505598746,627.0725765,0.797189314,108.3952381,1.557142857,574.8809524,0.790141082,Rajya Sabha
900336,Naresh Gujral,Elected,10-04-2016,09-04-2022,Third Term,N/A,Punjab,Shiromani Akali Dal,Male,Graduate,"B.A., F.C.A. Educated at St. Stephen's College, University of Delhi and Institute of Chartered Accountants of India, Delhi",76,124,3,368,0.947613504, Data corresponds to the period from 01-06-2009 to 09-08-2024.,174.8894394,2.710025889,690.03765,0.797189314,113.3952381,1.557142857,665.0809524,0.790141082,Rajya Sabha
900514,Shreegopal Vyas,Elected,03-04-2006,02-04-2012,First Term,N/A,Chhattisgarh,Bharatiya Janata Party,Male,Professional Graduate,"B. E.(Hons.), LL.B. Educated at Saugar University, Jabalpur, Madhya Pradesh and Ravishankar Vishwavidyalaya, Raipur, Chattisgarh",92,79,3,533,0.990950226, Data corresponds to the period from 01-06-2009 to 09-08-2024.,23.58244777,0.61776919,178.9718321,0.797189314,24.8,0.6,325.7,0.871077794,Rajya Sabha
900327,Narayan Lal Panchariya,Elected,10-04-2014,09-04-2020,First Term,N/A,Rajasthan,Bharatiya Janata Party,Male,Post Graduate,"M.Com., LL.B. Educated at Rajasthan University, Jaipur, Rajasthan and Jodhpur University, Jodhpur, Rajasthan",69,71,11,704,0.960784314, Data corresponds to the period from 01-06-2009 to 09-08-2024.,97.86446071,1.500965027,324.7388369,0.797189314,69.44166667,2.583333333,274.8055556,0.836013724,Rajya Sabha
900136,Dilipbhai Shivshankarbhai Pandya,Elected,18-08-2011,18-08-2017,First Term,N/A,Gujarat,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., LL.B. ; Educated at University of Bombay, Mumbai",80,22,2,458,0.923076923, Data corresponds to the period from 01-06-2009 to 09-08-2024.,77.67426676,1.242523168,338.7173119,0.797189314,50.56447719,2.838383838,349.1748945,0.855704017,Rajya Sabha
900051,Anubhav Mohanty (RS),Elected,13-06-2014,22-05-2019,First Term,N/A,Odisha,Biju Janata Dal,Male,Graduate,B.Com.,42,45,2,451,0.649842271, Data corresponds to the period from 01-06-2009 to 09-08-2024.,67.76869117,1.052517778,269.15714,0.797189314,57.08888889,0.2,303.9333333,0.779857655,Rajya Sabha
900584,Vijay Jawaharlal Darda,Elected,05-07-2010,04-07-2016,Third Term,N/A,Maharashtra,Indian National Congress,Male,Diploma Course,Diploma in Jounalism & Printing Technology,74,65,14,1028,0.553149606, Data corresponds to the period from 01-06-2009 to 09-08-2024.,73.38640297,1.513728021,400.598497,0.797189314,75.6213352,3.135690943,648.2781629,0.786057162,Rajya Sabha
900357,Palvai Govardhan Reddy,Elected,03-04-2012,09-06-2017,Second Term,N/A,Telangana,Indian National Congress,Male,Graduate,"B.A. Educated at Vivekavardhini College, Osmania University",87,78,1,632,0.825842697, Data corresponds to the period from 01-06-2009 to 09-08-2024.,67.25339694,1.162626579,282.2000828,0.797189314,95.11428571,0.571428571,357.4285714,0.746286047,Rajya Sabha
900226,Kanimozhi,Elected,25-07-2007,23-05-2019,Second Term,N/A,Tamil Nadu,Dravida Munnetra Kazhagam,Female,Post Graduate,M.A. ( Economics),56,141,3,617,0.570336391, Data corresponds to the period from 01-06-2009 to 09-08-2024.,107.0356492,2.020569023,553.4062637,0.797189314,144.4276961,1.251633987,698.9207516,0.716988582,Rajya Sabha
900456,Ronald Sapa Tlau,Elected,19-07-2014,18-07-2020,First Term,N/A,Mizoram,Indian National Congress,Male,Post Graduate,"M.A. (Mass Communication) Educated at Spicer College, Pune and Howard University, Washington D.C., U.S.A.",70,23,1,67,0.832098765, Data corresponds to the period from 01-06-2009 to 09-08-2024.,96.36975985,1.428315454,318.4183241,0.797189314,23,1,67,0.893751104,Rajya Sabha
900090,Bharatkumar Raut,Elected,03-04-2008,02-04-2014,First Term,N/A,Maharashtra,Shiv Sena,Male,Post Graduate,"M.A. (Politics) Educated at University of Bombay, Mumbai",71,121,1,203,0.859550562, Data corresponds to the period from 01-06-2009 to 09-08-2024.,39.07140246,0.968051246,284.2491237,0.797189314,46.95140056,1.377521008,470.5297969,0.786057162,Rajya Sabha
900049,Anil Yeshwant Desai,Elected,03-04-2018,02-04-2024,Second Term,N/A,Maharashtra,Shiv Sena,Male,Professional Graduate,"B.Com, LL. B. Educated at Mumbai University, Mu",67,156,1,921,0.846796657, Data corresponds to the period from 01-06-2009 to 09-08-2024.,190.0384066,2.733821306,589.8961533,0.797189314,215.5544962,6.830438842,818.9871104,0.786057162,Rajya Sabha
900372,Prabhat Jha,Elected,10-04-2008,09-04-2020,Second Term,N/A,Madhya Pradesh,Bharatiya Janata Party,Male,Post Graduate,"B. Sc., M.A. (Political Science), LL. B., Educated at PGV College, Gwalior and Madhav College, and MLB College, Gwalior",67,107,19,2079,0.726783311, Data corresponds to the period from 01-06-2009 to 09-08-2024.,136.9358632,2.469016273,608.9879606,0.797189314,138.9199134,2.111111111,753.0676407,0.859978101,Rajya Sabha
900069,Avtar Singh Karimpuri,Elected,26-11-2008,25-11-2014,First Term,N/A,Uttar Pradesh,Bahujan Samaj Party,Male,Graduate,"Intermediate, B.A. (Public Administration) (Part-II) Educated at Govt. High School, Kotranjha, (Punjab) and Annamalai University",60,113,4,119,0.847938144, Data corresponds to the period from 01-06-2009 to 09-08-2024.,45.57240308,1.053576355,306.1097123,0.797189314,40.95922089,1.640322581,218.048408,0.843924756,Rajya Sabha
900495,Selja,Elected,10-04-2014,09-04-2020,First Term,N/A,Haryana,Indian National Congress,Female,Post Graduate,"M.A., M.Phil.; Educated at Convent of Jesus & Mary, New Delhi,; Graduation and Post-graduation from Panjab University, Chandigarh",61,96,2,360,0.906862745, Data corresponds to the period from 01-06-2009 to 09-08-2024.,97.86446071,1.500965027,324.7388369,0.797189314,66.7,0.5,270.35,0.874717895,Rajya Sabha
900207,K.C. Ramamurthy,Elected,05-12-2019,30-06-2022,Second Term,N/A,Karnataka,Bharatiya Janata Party,Male,Post Graduate,Master of Arts in Eco. From Bangalore University and M.A. (in Pol Sci.) from University of Mysore,72,116,1,645,0.908284024, Data corresponds to the period from 01-06-2009 to 09-08-2024.,95.73964357,1.165047868,279.0820101,0.797189314,82.99848485,0.545454545,356.6969697,0.740546676,Rajya Sabha
900297,Mohammed Adeeb,Elected,26-11-2008,25-11-2014,First Term,N/A,Uttar Pradesh,Independent,Male,Post Graduate,"M.Sc. Educated at Aligarh Muslim University, Aligarh (Uttar Pradesh)",79,64,1,673,0.93556701, Data corresponds to the period from 01-06-2009 to 09-08-2024.,45.57240308,1.053576355,306.1097123,0.797189314,40.95922089,1.640322581,218.048408,0.843924756,Rajya Sabha
900384,Prashanta Nanda,Elected,04-04-2018,03-04-2024,First Term,N/A,Odisha,Biju Janata Dal,Male,Post Graduate,"B.Sc., M.A., LL.B. Educated at Ravenshaw College (Utkal University), M.S. Law College and Utkal University, Cuttack ",77,115,1,312,0.85625, Data corresponds to the period from 01-06-2009 to 09-08-2024.,113.5092723,1.402770352,256.1325658,0.797189314,441.9333333,4.222222222,310.0984127,0.779857655,Rajya Sabha
900472,Sambhaji Shahu Chhatrapati,Nominated,13-06-2016,03-05-2022,First Term,N/A,N/A,Bharatiya Janata Party,Male,Professional Post Graduate,"B.A., M.B.A.; educated at Rajkumar College, Rajkot and Shivaji University, Kolhapur",53,44,1,626,0.891737892, Data corresponds to the period from 01-06-2009 to 09-08-2024.,101.5030364,1.196297868,289.4391529,0.797189314,N/A,N/A,N/A,N/A,Rajya Sabha
900348,Oscar Fernandes,Elected,01-07-2016,13-09-2021,Fourth Term,N/A,Karnataka,Indian National Congress,Male,Graduate,"Intermediate, B.A.II Educated at Cecilia's Convent, Board High School and M.G.M.College, Udupi",83,20,1,37,0.79889043,"This MP was a minister from Jun 2013 to May 2014.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till May 2013. Data corresponds to the period from 01-06-2009 to 09-08-2024.",146.4966596,2.469016273,621.7347102,0.797189314,107.5964646,2.896969697,578.7767677,0.740546676,Rajya Sabha
900351,P. Rajeeve,Elected,22-04-2009,23-04-2015,First Term,N/A,Kerala,Communist Party of India (Marxist),Male,Professional Graduate,"B.A., LL.B., Diploma in Chemical Engineering Educated at St. Pauls College, Kalamassery, Govt. Law College, Ernakulum and Govt. Polytechnic, Kalamassery",57,219,4,792,0.838407494, Data corresponds to the period from 01-06-2009 to 09-08-2024.,56.38512237,1.242040802,337.3777137,0.797189314,91.20714286,0.892857143,502.4142857,0.781809727,Rajya Sabha
900074,B.K. Hariprasad,Elected,22-08-2013,25-06-2020,Fourth Term,N/A,Karnataka,Indian National Congress,Male,Graduate,"B. Com. Educated at M.E.S.College, Bangalore University, Bangalore",70,174,4,767,0.849236641, Data corresponds to the period from 01-06-2009 to 09-08-2024.,113.0007696,1.824861197,425.2678068,0.797189314,86.91363636,2.009090909,450.8151515,0.740546676,Rajya Sabha
